targetView,camSet,coverage
1,"(0, 6, 8)",0.18171223958333332
1,"(0, 6, 9)",0.19943250868055556
1,"(0, 6, 10)",0.2147439236111111
1,"(0, 6, 11)",0.18101453993055555
1,"(0, 7, 8)",0.19507486979166666
1,"(0, 7, 9)",0.21366861979166665
1,"(0, 7, 10)",0.230634765625
1,"(0, 7, 11)",0.1943771701388889
1,"(0, 8, 9)",0.198173828125
1,"(0, 8, 10)",0.21540907118055555
1,"(0, 8, 11)",0.17915147569444445
1,"(0, 9, 10)",0.22435655381944444
1,"(0, 9, 11)",0.19774522569444444
1,"(0, 10, 11)",0.21471137152777778
1,"(1, 2, 3)",1.0
1,"(1, 2, 4)",1.0
1,"(1, 2, 5)",1.0
1,"(1, 2, 6)",1.0
1,"(1, 2, 7)",1.0
1,"(1, 2, 8)",1.0
1,"(1, 2, 9)",1.0
1,"(1, 2, 10)",1.0
1,"(1, 2, 11)",1.0
1,"(1, 3, 4)",1.0
1,"(1, 3, 5)",1.0
1,"(1, 3, 6)",1.0
1,"(1, 3, 7)",1.0
1,"(1, 3, 8)",1.0
1,"(1, 3, 9)",1.0
1,"(1, 3, 10)",1.0
1,"(1, 3, 11)",1.0
1,"(1, 4, 5)",1.0
1,"(1, 4, 6)",1.0
1,"(1, 4, 7)",1.0
1,"(1, 4, 8)",1.0
1,"(1, 4, 9)",1.0
1,"(1, 4, 10)",1.0
1,"(1, 4, 11)",1.0
1,"(1, 5, 6)",1.0
1,"(1, 5, 7)",1.0
1,"(1, 5, 8)",1.0
1,"(1, 5, 9)",1.0
1,"(1, 5, 10)",1.0
1,"(1, 5, 11)",1.0
1,"(1, 6, 7)",1.0
1,"(1, 6, 8)",1.0
1,"(1, 6, 9)",1.0
1,"(1, 6, 10)",1.0
1,"(1, 6, 11)",1.0
1,"(1, 7, 8)",1.0
1,"(1, 7, 9)",1.0
1,"(1, 7, 10)",1.0
1,"(1, 7, 11)",1.0
1,"(1, 8, 9)",1.0
1,"(1, 8, 10)",1.0
1,"(1, 8, 11)",1.0
1,"(1, 9, 10)",1.0
1,"(1, 9, 11)",1.0
1,"(1, 10, 11)",1.0
1,"(2, 3, 4)",0.6968098958333333
1,"(2, 3, 5)",0.20031792534722223
1,"(2, 3, 6)",0.17475911458333335
1,"(2, 3, 7)",0.19068033854166666
1,"(2, 3, 8)",0.21451822916666666
1,"(2, 3, 9)",0.1954416232638889
1,"(2, 3, 10)",0.17475694444444445
1,"(2, 3, 11)",0.17475694444444445
1,"(2, 4, 5)",0.696875
1,"(2, 4, 6)",0.6968077256944445
1,"(2, 4, 7)",0.6968055555555556
1,"(2, 4, 8)",0.6981727430555555
1,"(2, 4, 9)",0.696875
1,"(2, 4, 10)",0.6968055555555556
1,"(2, 4, 11)",0.6968055555555556
1,"(2, 5, 6)",0.20031792534722223
1,"(2, 5, 7)",0.21493272569444444
1,"(2, 5, 8)",0.22873697916666666
1,"(2, 5, 9)",0.19901258680555556
1,"(2, 5, 10)",0.19900933159722223
1,"(2, 5, 11)",0.19900933159722223
1,"(2, 6, 7)",0.19068033854166666
1,"(2, 6, 8)",0.21451822916666666
1,"(2, 6, 9)",0.1954416232638889
1,"(2, 6, 10)",0.17475694444444445
1,"(2, 6, 11)",0.17475694444444445
1,"(2, 7, 8)",0.23040907118055556
1,"(2, 7, 9)",0.21005859375
1,"(2, 7, 10)",0.18483723958333334
1,"(2, 7, 11)",0.18483723958333334
1,"(2, 8, 9)",0.22386284722222222
1,"(2, 8, 10)",0.21448567708333333
1,"(2, 8, 11)",0.21448567708333333
1,"(2, 9, 10)",0.19413519965277778
1,"(2, 9, 11)",0.19413519965277778
1,"(2, 10, 11)",0.1689138454861111
1,"(3, 4, 5)",0.5645486111111111
1,"(3, 4, 6)",0.5644791666666666
1,"(3, 4, 7)",0.5644791666666666
1,"(3, 4, 8)",0.5658463541666666
1,"(3, 4, 9)",0.5645486111111111
1,"(3, 4, 10)",0.5656108940972222
1,"(3, 4, 11)",0.5644791666666666
1,"(3, 5, 6)",0.042802734375
1,"(3, 5, 7)",0.05872395833333333
1,"(3, 5, 8)",0.07148328993055555
1,"(3, 5, 9)",0.04280164930555556
1,"(3, 5, 10)",0.06798394097222223
1,"(3, 5, 11)",0.04280056423611111
1,"(3, 6, 7)",0.02430447048611111
1,"(3, 6, 8)",0.04845703125
1,"(3, 6, 9)",0.03792426215277778
1,"(3, 6, 10)",0.042425130208333335
1,"(3, 6, 11)",0.00838107638888889
1,"(3, 7, 8)",0.06437825520833333
1,"(3, 7, 9)",0.05384548611111111
1,"(3, 7, 10)",0.05834635416666667
1,"(3, 7, 11)",0.024302300347222222
1,"(3, 8, 9)",0.06660481770833333
